name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
B.Roethlisberger,00-0022924,no,PIT,QB,,,,,,23,12,43,12,-52,,,,,,,,,,,,,,,3072,1987,63,150,7,5,24307,69,2,89,3,89,,,,,,,,,,,,,188,455,30,5,0,0,535
R.Mendenhall,00-0026163,no,PIT,,,,,,,10,1,13,1,0,,,,,,,,,,8,8,,1,0,,,,,,,,,,,,,,,,,,565,0,92,1,0,0,765,1064,1197,171,38,1,1,4192
W.Parker,00-0022250,no,PIT,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,6,1,0,0,64,98,150,,0,0,0,389
M.Moore,00-0022217,no,PIT,,,,,,,3,1,3,1,0,,,,,,,,,,122,124,0,11,0,1,1,0,1,0,0,6,,,,,,3,3,,3,0,366,9,64,4,0,0,539,103,281,0,0,2,2,394
S.Holmes,00-0024240,no,PIT,,,,,,,4,0,6,0,0,,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,,57,68,0,15,0,1475,373,233,21,0,0,3443,8,45,0,0,0,0,50
M.Wallace,00-0026901,no,PIT,WR,,,,,,4,2,7,2,0,,,,,,,,,,26,26,,1,0,1,0,0,0,0,0,0,,,,,,,,,,,2850,1136,381,47,1,0,5899,27,185,0,0,0,0,200
H.Ward,00-0017162,no,PIT,,,,,,,3,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,56,200,13,0,0,2303,1,-2,0,0,0,0,-2
H.Miller,00-0023465,no,PIT,TE,,,,,,4,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769,120,372,22,2,2,4186,1,6,0,0,0,0,6
K.Fox,00-0022697,no,PIT,,14,0,1,0,27,0,0,0,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Reed,00-0020737,no,PIT,,,,,,,,,,,,63,51,905,153,73,0,73,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Sepulveda,00-0025499,no,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,33,1378,53,1892,153,6777,,,,,,,,,,,,,,,,,,,
S.Logan,00-0026491,no,PIT,,,,,,,7,6,16,8,4,,,,,,,,,,1420,1862,0,170,1,1,0,0,0,0,0,0,,,,,,536,818,0,129,0,44,0,8,0,0,0,52,27,126,0,0,0,0,144
D.Townsend,00-0016577,no,PIT,,4,0,1,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Polamalu,00-0022119,no,PIT,,89,7,15,6,251,0,0,0,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
